,Name,Position,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fox,fire,average
0,Odell Beckham Jr.,WR,8900,NYG@Phi 08:30PM ET,19.62,NYG,20,25.6,15.81,22,18.62,18.36,16.907,19.61385714
1,Le'Veon Bell,RB,8500,Ari@Pit 01:00PM ET,27.633,Pit,21,24.3,17.76,24.6,20.98,22.13,20.025,21.54214286
2,Antonio Brown,WR,8300,Ari@Pit 01:00PM ET,22.46,Pit,21,26,16.04,24.1,16.6,14.58,14.528,18.97828571
3,Tom Brady,QB,8100,NE@Ind 08:30PM ET,27.72,NE,28.2,23.54,23.23,23.54,23.918,18.018,25.2434,23.66991429
4,Demaryius Thomas,WR,7900,Den@Cle 01:00PM ET,17.52,Den,20,25.6,17.73,22.8,19.2,14.45,20.2002,19.99717143
5,Jamaal Charles,RB,7800,KC@Min 01:00PM ET,21.22,KC,,,,,,,,0
6,Aaron Rodgers,QB,7700,SD@GB 04:25PM ET,23.608,GB,21.9,28.94,23.3,28.94,21.814,19.34,21.991,23.74642857
7,DeAndre Hopkins,WR,7700,Hou@Jax 01:00PM ET,25.76,Hou,29,23.8,19.17,21.9,18.69,14.18,20.173,20.98757143
8,Adrian Peterson,RB,7600,KC@Min 01:00PM ET,19.6,Min,24,22.5,17.4,23.8,18.69,17.41,18.3436,20.30622857
9,Julian Edelman,WR,7600,NE@Ind 08:30PM ET,24.25,NE,23,19.8,18.86,19,19.82,15.42,19.058,19.27971429
10,Rob Gronkowski,TE,7600,NE@Ind 08:30PM ET,21.875,NE,21.5,23.4,17.5,20.7,17.41,14.16,16.68,18.76428571
11,A.J. Green,WR,7600,Cin@Buf 01:00PM ET,20.3,Cin,23,19.7,17.74,17.9,18.34,14.17,16.795,18.235
12,Andrew Luck,QB,7600,NE@Ind 08:30PM ET,16.873,Ind,20.2,19.2,19.87,20.2,22.446,17.056,23.243,20.31642857
13,Keenan Allen,WR,7600,SD@GB 04:25PM ET,21.28,SD,20,21.4,15.31,19.7,16.14,13.92,16.622,17.58457143
