player,opp,status,comp/att,pass_yards,pass_tds,int,rush_att,rush_yards,rush_tds,rec,rec_yards,rec_tds,fan_pts,punt_td,kick_td,fl,2-pt

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
"Tom Brady, NEQB",@Ind,Sun 8:30,27.8/41.2,303.7,2,0.7,2.3,2.7,0.2,0,0,0,19.6
"Drew Brees, NOQB",Atl,W 31-21,29.3/43.2,339.4,2.1,0.9,1.5,2.4,0.1,0,0,0,19.5
"Aaron Rodgers, GBQB",SD,Sun 4:25,20.4/31.4,245.6,2.5,0.5,3.5,18.9,0.1,0,0,0,19.2
"Andrew Luck, IndQBQ",NE,Sun 8:30,24.3/39.7,294.4,2.4,1.3,3.8,17.7,0.1,0,0,0,19.1
"Devonta Freeman, AtlRBP",@NO,L 21-31,0/0,0,0,0,19.2,92.6,0.9,4.1,37.9,0.2,17.9
"Russell Wilson, SeaQB",Car,Sun 4:05,19.5/30.5,235.2,1.4,0.8,7,42.6,0.2,0,0,0,17.6
"Matthew Stafford, DetQB",Chi,Sun 1:00,24.3/37.9,280.1,1.8,0.7,2,6.2,0.1,0,0,0,16.9
"Colin Kaepernick, SFQB",Bal,Sun 4:25,19.2/30.8,229.2,1,0.5,6.8,42.1,0.2,0,0,0,16.8
"Matt Forte, ChiRB",@Det,Sun 1:00,0/0,0,0,0,21.9,98.4,0.6,3.7,34.2,0.2,16.6
"Peyton Manning, DenQBP",@Cle,Sun 1:00,22.8/36.4,277.6,1.8,0.7,1.4,-0.4,0,0,0,0,16.6
"Blake Bortles, JaxQBP",Hou,Sun 1:00,22.1/34.4,263.4,1.6,0.6,3.2,18.8,0.1,0,0,0,16.4
"Matt Ryan, AtlQB",@NO,L 21-31,22.3/34.1,259.7,1.8,0.6,2.1,6.9,0.1,0,0,0,16.1
"Andy Dalton, CinQB",@Buf,Sun 1:00,22.3/35.5,265.5,1.5,1,3.5,10.5,0.1,0,0,0,15.8
"Carson Palmer, AriQB",@Pit,Sun 1:00,21.4/35.3,263,1.8,0.9,1.5,2.5,0.1,0,0,0,15.7
"Philip Rivers, SDQB",@GB,Sun 4:25,23.8/37.4,296.6,2,1.4,1.9,4.1,0,0,0,0,15.7
"Eli Manning, NYGQB",@Phi,Mon 8:30,26/41.9,311.4,1.4,1,1,2,0,0,0,0,15.3
"Sam Bradford, PhiQB",NYG,Mon 8:30,23.1/37.1,253,1.7,0.8,1.8,4.9,0.1,0,0,0,15.3
"Le'Veon Bell, PitRB",Ari,Sun 1:00,0/0,0,0,0,18.9,81.1,0.5,4.8,38.7,0.2,15.1
"Joe Flacco, BalQB",@SF,Sun 4:25,22.8/36.6,267.6,1.6,0.8,2.2,4.6,0.1,0,0,0,14.9
"Ryan Tannehill, MiaQB",@Ten,Sun 1:00,22/35.9,242.3,1.8,1.1,2.7,13.2,0.1,0,0,0,14.8
"Adrian Peterson, MinRB",KC,Sun 1:00,0/0,0,0,0,19.2,88.3,0.9,2.1,17.6,0.1,14.7
"Jay Cutler, ChiQB",@Det,Sun 1:00,20.5/32.3,237.3,1.6,0.9,2.6,12.1,0.1,0,0,0,14.4
"Alex Smith, KCQB",@Min,Sun 1:00,22.1/36.5,238.8,1.1,0.7,4.1,21.6,0.1,0,0,0,14.3
"Teddy Bridgewater, MinQB",KC,Sun 1:00,18.3/31.1,224.5,1.3,0.6,3.5,18.7,0.2,0,0,0,14.1
"Ryan Fitzpatrick, NYJQB",Wsh,Sun 1:00,20.1/31.3,230.2,1.3,0.9,3.9,16.8,0.1,0,0,0,13.8
