,Name,Position,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fox,fire,final
0,Odell Beckham Jr.,WR,8900,NYG@Phi 08:30PM ET,19.62,NYG,20.0,25.6,15.84,22.0,18.62,18.36,16.907,19.1
1,Le'Veon Bell,RB,8500,Ari@Pit 01:00PM ET,27.633,Pit,21.0,24.3,17.76,24.6,20.98,22.13,20.025,8.8
2,Antonio Brown,WR,8300,Ari@Pit 01:00PM ET,22.46,Pit,19.5,26.0,16.05,24.1,16.6,14.58,14.528,5.4
3,Tom Brady,QB,8100,NE@Ind 08:30PM ET,27.72,NE,28.2,23.54,23.23,23.54,23.918,18.018,25.2434,26.48
4,Demaryius Thomas,WR,7900,Den@Cle 01:00PM ET,17.52,Den,20.0,25.6,17.73,22.8,19.2,14.45,20.2002,24.1
5,Jamaal Charles,RB,7800,KC@Min 01:00PM ET,21.22,KC,,,,,,,,
6,Aaron Rodgers,QB,7700,SD@GB 04:25PM ET,23.608,GB,21.9,28.94,23.3,28.94,21.814,19.34,21.991,19.6
7,DeAndre Hopkins,WR,7700,Hou@Jax 01:00PM ET,25.76,Hou,29.0,23.8,19.18,21.9,18.69,14.18,20.173,
8,Adrian Peterson,RB,7600,KC@Min 01:00PM ET,19.6,Min,24.0,22.5,17.39,23.8,18.69,17.41,18.3436,
9,Julian Edelman,WR,7600,NE@Ind 08:30PM ET,24.25,NE,23.0,19.8,18.88,19.0,19.82,15.42,19.058,17.2
10,Rob Gronkowski,TE,7600,NE@Ind 08:30PM ET,21.875,NE,21.5,23.4,17.52,20.7,17.41,14.16,16.68,14.0
11,A.J. Green,WR,7600,Cin@Buf 01:00PM ET,20.3,Cin,23.0,19.7,17.73,17.9,18.34,14.17,16.795,7.6
12,Andrew Luck,QB,7600,NE@Ind 08:30PM ET,16.873,Ind,20.2,19.2,19.86,20.2,22.446,17.056,23.243,
13,Keenan Allen,WR,7600,SD@GB 04:25PM ET,21.28,SD,20.0,21.4,15.33,19.7,16.14,13.92,16.622,32.7
14,Emmanuel Sanders,WR,7500,Den@Cle 01:00PM ET,18.16,Den,19.5,22.9,16.29,20.6,17.78,12.81,16.054,23.9
15,Calvin Johnson,WR,7300,Chi@Det 01:00PM ET,13.84,Det,20.0,15.2,17.62,12.6,17.31,15.92,16.785,31.6
16,Randall Cobb,WR,7300,SD@GB 04:25PM ET,17.48,GB,18.5,21.0,18.14,18.8,17.94,15.03,19.344,5.8
17,Brandon Marshall,WR,7100,Was@NYJ 01:00PM ET,24.0,NYJ,22.0,20.6,21.46,19.3,15.79,13.59,15.479,
18,Matt Forte,RB,7100,Chi@Det 01:00PM ET,18.58,Chi,20.5,23.3,17.62,23.7,21.76,21.37,18.536,19.9
19,Larry Fitzgerald,WR,7000,Ari@Pit 01:00PM ET,25.0,Ari,23.0,19.4,18.12,18.7,17.34,17.52,15.954,17.3
20,Arian Foster,RB,7000,Hou@Jax 01:00PM ET,13.15,Hou,20.0,15.8,18.15,16.0,19.73,16.73,18.8392,
21,Ben Roethlisberger,QB,6900,Ari@Pit 01:00PM ET,20.793,Pit,,,,,,,,
22,Marshawn Lynch,RB,6900,Car@Sea 04:05PM ET,9.967,Sea,17.0,15.2,16.17,15.9,15.67,14.7,7.97,12.4
23,Eli Manning,QB,6800,NYG@Phi 08:30PM ET,20.136,NYG,18.3,17.5,15.83,18.5,20.256,22.95,17.4116,10.76
24,Cam Newton,QB,6700,Car@Sea 04:05PM ET,22.965,Car,20.8,13.9,16.42,14.9,16.582,16.538,17.9584,
25,Peyton Manning,QB,6600,Den@Cle 01:00PM ET,13.792,Den,18.0,15.9,16.64,17.9,17.564,15.496,18.153,12.6
26,Carson Palmer,QB,6600,Ari@Pit 01:00PM ET,22.348,Ari,19.2,22.58,22.5,23.58,17.67,22.32,20.4816,21.74
27,Jeremy Maclin,WR,6500,KC@Min 01:00PM ET,19.22,KC,20.0,18.4,15.58,17.2,16.72,15.64,14.841,7.8
28,Russell Wilson,QB,6500,Car@Sea 04:05PM ET,17.296,Sea,15.6,19.4,19.1,20.4,19.668,17.186,18.8668,18.94
29,T.Y. Hilton,WR,6500,NE@Ind 08:30PM ET,13.04,Ind,20.5,19.3,16.3,21.4,16.72,12.32,12.921,
30,Justin Forsett,RB,6400,Bal@SF 04:25PM ET,15.3,Bal,19.0,17.6,12.6,18.6,13.94,18.41,15.121,17.1
31,Alshon Jeffery,WR,6400,Chi@Det 01:00PM ET,12.8,Chi,10.0,23.0,13.9,21.6,15.35,17.15,15.365,31.7
32,Philip Rivers,QB,6300,SD@GB 04:25PM ET,21.344,SD,23.0,18.28,14.47,19.28,18.874,16.126,21.889,31.12
33,Eddie Lacy,RB,6300,SD@GB 04:25PM ET,9.06,GB,16.0,28.5,15.76,27.9,16.54,20.72,16.112,4.0
34,Jordan Matthews,WR,6200,NYG@Phi 08:30PM ET,14.3,Phi,18.0,12.6,13.41,11.3,15.84,13.95,15.598,10.9
35,Jarvis Landry,WR,6200,Mia@Ten 01:00PM ET,17.7,Mia,20.5,17.4,13.54,16.8,14.72,14.18,14.8,
36,Steve Smith Sr.,WR,6100,Bal@SF 04:25PM ET,21.075,Bal,,15.8,,14.9,,14.37,,29.7
