player,opp,status,comp/att,pass_yards,pass_tds,int,rush_att,rush_yards,rush_tds,rec,rec_yards,rec_tds,targets,2-pt,fl,def_td,fan_pts,punt_td,kick_td

"PLAYER, TEAM POS",OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,TAR,2PC,FUML,TD,PTS
"Matthew Stafford, DetQB",Chi,W 37-34,27/42,405,4,1,6,37,0,0,0,0,0,0,0,0,33
"Philip Rivers, SDQB",@GB,L 20-27,43/65,503,2,0,0,0,0,0,0,0,0,0,0,0,28
"Andrew Luck, IndQBP",NE,L 27-34,30/50,312,3,0,4,35,0,0,0,0,0,0,0,0,27
"Devonta Freeman, AtlRB",@NO,L 21-31,0/0,0,0,0,13,100,1,8,56,1,10,0,0,0,27
"DeAndre Hopkins, HouWR",@Jax,W 31-20,0/0,0,0,0,0,0,0,10,148,2,15,0,0,0,26
"Ryan Fitzpatrick, NYJQBP",Wsh,W 34-20,19/26,253,2,1,4,31,1,0,0,0,0,0,0,0,25
"Chris Ivory, NYJRB",Wsh,W 34-20,0/0,0,0,0,20,146,1,3,50,0,3,0,0,0,25
"Martavis Bryant, PitWR",Ari,W 25-13,0/0,0,0,0,1,8,0,6,137,2,8,0,0,0,25
Dolphins D/STD/ST,@Ten,W 38-10,0/0,0,0,0,0,0,0,0,0,0,0,0,0,1,25
"Brian Hoyer, HouQB",@Jax,W 31-20,24/36,293,3,0,5,5,0,0,0,0,0,0,0,0,23
"James Starks, GBRB",SD,W 27-20,0/0,0,0,0,10,112,1,1,5,1,2,0,0,0,23
"Tom Brady, NEQB",@Ind,W 34-27,23/37,312,3,1,4,0,0,0,0,0,0,0,0,0,22
"Calvin Johnson, DetWR",Chi,W 37-34,0/0,0,0,0,0,0,0,6,166,1,9,0,0,0,22
"LeGarrette Blount, NERB",@Ind,W 34-27,0/0,0,0,0,16,93,1,1,11,1,1,0,0,0,22
"Colin Kaepernick, SFQB",Bal,W 25-20,16/27,340,2,0,3,10,0,0,0,0,0,0,0,0,22
"Blake Bortles, JaxQB",Hou,L 20-31,30/53,331,3,3,4,37,0,0,0,0,0,0,0,0,22
"Andy Dalton, CinQB",@Buf,W 34-21,22/33,243,3,0,3,-2,0,0,0,0,0,0,0,0,21
"Alshon Jeffery, ChiWR",@Det,L 34-37,0/0,0,0,0,0,0,0,8,147,1,11,0,0,0,20
"EJ Manuel, BufQB",Cin,L 21-34,28/42,263,1,1,6,22,1,0,0,0,0,0,0,0,20
Eagles D/STD/ST,NYG,W 27-7,0/0,0,0,0,0,0,0,0,0,0,0,0,0,1,20
"Steve Smith Sr., BalWRP",@SF,L 20-25,0/0,0,0,0,0,0,0,7,137,1,10,0,0,0,19
"Aaron Rodgers, GBQB",SD,W 27-20,16/29,255,2,0,2,14,0,0,0,0,0,0,0,0,19
"Jay Cutler, ChiQB",@Det,L 34-37,26/41,353,1,1,2,12,0,0,0,0,0,1,0,0,19
"Greg Olsen, CarTE",@Sea,W 27-23,0/0,0,0,0,0,0,0,7,131,1,11,0,0,0,19
"Jonathan Stewart, CarRB",@Sea,W 27-23,0/0,0,0,0,20,78,2,1,8,0,1,0,0,0,19
"Cam Newton, CarQB",@Sea,W 27-23,20/36,269,1,2,7,30,1,0,0,0,0,0,0,0,19
"Benjamin Watson, NOTE",Atl,W 31-21,0/0,0,0,0,0,0,0,10,127,1,12,0,0,0,18
