,Unnamed: 0,player,opp,pass_yards,pass_tds,int,rush_yards,rush_tds,rec_yards,rec_tds,fum_td,2-pt,fl,fan_pts,rec,punt_td,kick_td
0,0,Aaron Rodgers QB - GB View Videos,SD,306.0,3.0,0.0,17.0,0.0,0.0,0.0,0,0,0.0,25.94,0.0,0,0
1,1,Eddie Lacy RB - GB View Video,SD,0.0,0.0,0.0,123.0,1.0,36.0,0.0,0,0,0.0,21.9,3.6,0,0
2,2,Tom Brady QB - NE View Videos,@IND,306.0,2.0,0.0,3.0,0.0,0.0,0.0,0,0,0.0,20.54,0.0,0,0
3,3,Le'Veon Bell RB - PIT View Videos,ARI,0.0,0.0,0.0,89.0,1.0,47.0,0.0,0,0,0.0,19.6,4.7,0,0
4,4,Matt Ryan QB - ATL View Videos,@NO,315.0,2.0,1.0,8.0,0.0,0.0,0.0,0,0,0.0,19.4,0.0,0,0
5,5,Devonta Freeman RB - ATL View Video,@NO,0.0,0.0,0.0,94.0,1.0,38.0,0.0,0,0,0.0,19.2,3.8,0,0
6,6,Drew Brees QB - NO View Videos,ATL,320.0,2.0,1.0,3.0,0.0,0.0,0.0,0,0,0.0,19.1,0.0,0,0
7,7,Matt Forte RB - CHI,@DET,0.0,0.0,0.0,81.0,1.0,46.0,0.0,0,0,0.0,18.7,4.6,0,0
8,8,Carson Palmer QB - ARI View Videos,@PIT,307.0,2.0,1.0,3.0,0.0,0.0,0.0,0,0,0.0,18.58,0.0,0,0
9,9,Russell Wilson QB - SEA,CAR,210.0,2.0,1.0,40.0,0.0,0.0,0.0,0,0,0.0,18.4,0.0,0,0
10,10,Andrew Luck QB - IND Q View News View Videos,NE,270.0,2.0,1.0,14.0,0.0,0.0,0.0,0,0,0.0,18.2,0.0,0,0
11,11,Marcus Mariota QB - TEN View Videos,MIA,223.0,2.0,1.0,28.0,0.0,0.0,0.0,0,0,0.0,17.72,0.0,0,0
12,12,Ryan Tannehill QB - MIA View Videos,@TEN,243.0,2.0,1.0,19.0,0.0,0.0,0.0,0,0,0.0,17.62,0.0,0,0
13,13,Teddy Bridgewater QB - MIN,KC,237.0,2.0,1.0,19.0,0.0,0.0,0.0,0,0,0.0,17.38,0.0,0,0
14,14,Philip Rivers QB - SD,@GB,277.0,2.0,1.0,2.0,0.0,0.0,0.0,0,0,0.0,17.28,0.0,0,0
15,15,Julio Jones WR - ATL View Video,@NO,0.0,0.0,0.0,1.0,0.0,111.0,1.0,0,0,0.0,17.2,11.1,0,0
16,16,Joe Flacco QB - BAL,@SF,264.0,2.0,1.0,5.0,0.0,0.0,0.0,0,0,0.0,17.06,0.0,0,0
17,17,Adrian Peterson RB - MIN,KC,0.0,0.0,0.0,111.0,1.0,17.0,0.0,0,0,1.0,16.8,1.7,0,0
18,18,Josh McCown QB - CLE P,DEN,233.0,2.0,1.0,12.0,0.0,0.0,0.0,0,0,0.0,16.52,0.0,0,0
19,19,Eli Manning QB - NYG View Video,@PHI,260.0,2.0,1.0,1.0,0.0,0.0,0.0,0,0,0.0,16.5,0.0,0,0
20,20,Sam Bradford QB - PHI View Video,NYG,251.0,2.0,1.0,3.0,0.0,0.0,0.0,0,0,0.0,16.34,0.0,0,0
21,21,Andy Dalton QB - CIN View Video,@BUF,230.0,2.0,1.0,10.0,0.0,0.0,0.0,0,0,0.0,16.2,0.0,0,0
22,22,Dion Lewis RB - NE Q View News View Video,@IND,0.0,0.0,0.0,67.0,1.0,35.0,0.0,0,0,0.0,16.2,3.5,0,0
