,Name,Position,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fox,fire
0,Julio Jones,WR,9100,Atl@Ten 01:00PM ET,25.3,Atl,26.0,30.9,25.0,27.0,17.78,17.19,23.9
1,Odell Beckham Jr.,WR,8700,Dal@NYG 04:25PM ET,19.533,NYG,20.5,31.5,19.83,28.5,18.15,17.41,20.234
2,DeAndre Hopkins,WR,8600,Hou@Mia 01:00PM ET,28.1,Hou,29.0,23.2,19.75,20.6,23.48,14.27,24.808
3,Tom Brady,QB,8500,NYJ@NE 01:00PM ET,27.472,NE,23.4,23.32,19.88,23.32,20.258,16.038,23.9714
4,Le'Veon Bell,RB,8400,Pit@KC 01:00PM ET,22.925,Pit,22.0,24.4,26.53,23.8,19.85,26.16,18.919
5,Julian Edelman,WR,8200,NYJ@NE 01:00PM ET,22.84,NE,21.0,19.6,17.99,18.9,17.99,14.9,18.741
6,Rob Gronkowski,TE,8100,NYJ@NE 01:00PM ET,20.3,NE,19.5,23.2,16.8,20.6,15.93,13.51,14.515
7,Dez Bryant,WR,8100,Dal@NYG 04:25PM ET,9.8,Dal,,23.8,,20.9,,,
8,Antonio Brown,WR,7900,Pit@KC 01:00PM ET,19.617,Pit,13.0,25.4,18.72,22.8,16.1,13.88,20.9446
9,Devonta Freeman,RB,7900,Atl@Ten 01:00PM ET,30.183,Atl,26.5,22.9,20.32,23.2,21.78,21.54,21.285
10,Brandon Marshall,WR,7800,NYJ@NE 01:00PM ET,24.42,NYJ,22.5,20.4,19.05,19.2,18.08,13.74,12.69
11,Calvin Johnson,WR,7700,Min@Det 01:00PM ET,16.8,Det,20.0,14.4,16.7,12.2,18.07,16.03,17.69
12,Keenan Allen,WR,7700,Oak@SD 04:05PM ET,23.183,SD,22.0,22.0,18.11,20.0,17.74,14.45,17.646
13,Adrian Peterson,RB,7600,Min@Det 01:00PM ET,17.02,Min,24.5,21.4,13.85,23.7,17.86,16.82,17.496
14,Andrew Luck,QB,7600,NO@Ind 01:00PM ET,20.4,Ind,20.6,20.08,26.12,21.08,22.952,21.43,25.634
15,Arian Foster,RB,7500,Hou@Mia 01:00PM ET,16.167,Hou,22.5,15.7,17.41,16.0,17.01,16.97,17.5696
16,Larry Fitzgerald,WR,7400,Bal@Ari 08:30PM ET,23.717,Ari,23.0,19.4,19.37,18.7,18.93,17.92,15.1
17,Matt Ryan,QB,7200,Atl@Ten 01:00PM ET,17.707,Atl,19.3,23.24,17.81,24.24,16.994,23.404,22.381
18,Drew Brees,QB,7000,NO@Ind 01:00PM ET,19.988,NO,22.4,26.94,19.97,27.94,21.812,18.36,24.5122
19,Marshawn Lynch,RB,6900,Sea@SF 08:25PM ET,10.575,Sea,18.5,15.1,15.13,15.8,16.35,17.63,17.8362
20,Eli Manning,QB,6800,Dal@NYG 04:25PM ET,18.573,NYG,18.4,17.1,23.13,18.1,18.016,22.054,18.2962
21,Ben Roethlisberger,QB,6800,Pit@KC 01:00PM ET,20.793,Pit,,,2.386,,,,8.7892
22,Carson Palmer,QB,6700,Bal@Ari 08:30PM ET,22.247,Ari,27.0,22.54,24.13,23.54,20.658,22.854,20.8758
23,Cam Newton,QB,6600,Phi@Car 08:30PM ET,22.724,Car,22.4,24.94,19.83,25.94,19.424,17.908,19.1188
24,Philip Rivers,QB,6500,Oak@SD 04:05PM ET,22.973,SD,23.8,18.72,19.19,19.72,23.924,23.772,24.76
25,Russell Wilson,QB,6500,Sea@SF 08:25PM ET,17.57,Sea,23.3,19.26,18.21,20.26,20.292,21.368,20.6504
26,T.Y. Hilton,WR,6500,NO@Ind 01:00PM ET,14.1,Ind,20.0,19.3,15.87,21.4,15.58,13.67,19.6408
27,Dion Lewis,RB,6500,NYJ@NE 01:00PM ET,17.74,NE,21.0,18.9,14.22,21.5,14.66,8.21,13.5382
28,Amari Cooper,WR,6500,Oak@SD 04:05PM ET,16.76,Oak,12.0,25.6,13.11,23.8,12.65,12.54,14.435
29,DeMarco Murray,RB,6400,Phi@Car 08:30PM ET,16.98,Phi,18.5,15.3,14.73,15.9,16.18,11.71,15.819
30,Jeremy Maclin,WR,6400,Pit@KC 01:00PM ET,17.317,KC,13.0,18.8,12.39,17.4,15.7,,15.8072
31,Jordan Matthews,WR,6400,Phi@Car 08:30PM ET,13.733,Phi,12.0,12.2,11.85,11.1,15.78,10.68,13.6888
32,Mike Evans,WR,6400,TB@Was 01:00PM ET,8.35,TB,20.0,25.4,14.07,22.7,13.3,12.85,10.768
33,Allen Robinson,WR,6400,Buf@Jax 09:30AM ET,18.3,Jax,20.0,17.6,12.33,16.8,16.99,12.79,13.347
34,Mark Ingram,RB,6300,NO@Ind 01:00PM ET,17.283,NO,18.5,11.6,14.04,12.0,14.84,18.18,13.985
35,Steve Smith Sr.,WR,6200,Bal@Ari 08:30PM ET,22.8,Bal,21.5,16.0,15.0,15.0,13.87,12.64,16.296
36,Jarvis Landry,WR,6200,Hou@Mia 01:00PM ET,17.28,Mia,20.5,17.4,13.23,16.8,15.3,12.56,15.194
37,Greg Olsen,TE,6100,Phi@Car 08:30PM ET,17.08,Car,20.0,16.6,13.74,15.3,15.37,10.57,12.336
