,Name,Position,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fox,fire,average
0,Julio Jones,WR,9200,TB@Atl 01:00PM ET,25.143,Atl,28.0,31.1,27.5,27.1,21.78,19.21,20.24,24.99
1,DeAndre Hopkins,WR,8700,Ten@Hou 01:00PM ET,25.657,Hou,29.0,23.8,19.59,20.9,19.29,14.95,25.487,21.8595714286
2,Odell Beckham Jr.,WR,8500,NYG@NO 01:00PM ET,17.814,NYG,22.5,32.2,17.56,27.9,18.27,16.35,18.814,21.942
3,Tom Brady,QB,8300,Mia@NE 08:25PM ET,28.343,NE,27.8,19.98,21.56,19.98,22.042,17.762,25.7662,22.1271714286
4,Le'Veon Bell,RB,8300,Cin@Pit 01:00PM ET,22.48,Pit,22.5,24.3,20.65,24.7,22.71,23.88,18.704,22.492
5,Julian Edelman,WR,8100,Mia@NE 08:25PM ET,20.767,NE,23.0,19.2,17.29,18.7,18.15,16.04,20.084,18.9234285714
6,Rob Gronkowski,TE,8000,Mia@NE 08:25PM ET,22.05,NE,21.0,22.6,17.72,20.3,16.19,14.0,18.364,18.5962857143
7,Dez Bryant,WR,8000,Sea@Dal 04:25PM ET,9.8,Dal,,18.8,8.92,17.4,14.52,16.26,,15.18
8,Devonta Freeman,RB,8000,TB@Atl 01:00PM ET,28.443,Atl,24.0,22.5,18.27,22.7,24.29,21.19,22.852,22.2574285714
9,Calvin Johnson,WR,7900,Det@KC 09:30AM ET,17.2,Det,22.0,14.4,15.56,12.2,16.62,16.11,16.486,16.1965714286
10,Antonio Brown,WR,7800,Cin@Pit 01:00PM ET,19.957,Pit,23.5,25.6,19.16,23.9,23.89,14.27,20.219,21.5055714286
11,Larry Fitzgerald,WR,7700,Ari@Cle 01:00PM ET,21.314,Ari,20.5,18.8,14.81,18.4,15.9,16.41,18.928,17.6782857143
12,Demaryius Thomas,WR,7700,GB@Den 08:30PM ET,18.617,Den,20.5,25.4,16.69,22.7,19.76,13.26,16.6694,19.2827714286
13,Keenan Allen,WR,7700,SD@Bal 01:00PM ET,22.429,SD,27.0,22.2,18.04,20.1,19.61,17.17,17.979,20.2998571429
14,Brandon Marshall,WR,7600,NYJ@Oak 04:05PM ET,22.133,NYJ,22.0,20.2,19.82,19.1,17.7,16.38,17.912,19.016
15,A.J. Green,WR,7600,Cin@Pit 01:00PM ET,18.183,Cin,23.0,31.8,16.83,27.5,17.55,15.61,15.832,21.1602857143
16,Aaron Rodgers,QB,7500,GB@Den 08:30PM ET,22.94,GB,21.1,28.78,16.06,28.78,19.482,17.778,19.6438,21.6605428571
17,Arian Foster,RB,7500,Ten@Hou 01:00PM ET,19.5,Hou,,,,,,,,
18,Emmanuel Sanders,WR,7500,GB@Den 08:30PM ET,19.117,Den,18.0,22.6,15.67,20.4,18.79,12.22,14.804,17.4977142857
19,Adrian Peterson,RB,7400,Min@Chi 01:00PM ET,16.517,Min,24.0,22.4,16.45,24.6,16.48,19.08,18.359,20.1955714286
20,Andrew Luck,QB,7400,Ind@Car 08:30PM ET,22.124,Ind,18.8,19.66,16.73,20.66,19.352,15.46,20.5076,18.7385142857
21,Matt Forte,RB,7300,Min@Chi 01:00PM ET,18.8,Chi,21.5,23.9,19.16,24.4,20.01,18.26,15.7922,20.4317428571
22,Matt Ryan,QB,7100,TB@Atl 01:00PM ET,16.854,Atl,19.7,23.22,22.84,24.22,20.344,25.148,23.6966,22.7383714286
23,Marshawn Lynch,RB,7100,Sea@Dal 04:25PM ET,12.7,Sea,22.5,14.9,17.66,15.6,15.81,17.95,16.506,17.2751428571
24,Carson Palmer,QB,7000,Ari@Cle 01:00PM ET,21.811,Ari,19.0,19.24,16.34,20.24,18.022,16.108,19.7686,18.3883714286
25,Randall Cobb,WR,7000,GB@Den 08:30PM ET,15.533,GB,17.5,24.7,14.06,22.7,16.92,14.82,16.296,18.1422857143
26,T.Y. Hilton,WR,6900,Ind@Car 08:30PM ET,16.943,Ind,18.5,18.7,14.23,21.1,16.17,11.94,15.358,16.5711428571
27,Cam Newton,QB,6800,Ind@Car 08:30PM ET,21.75,Car,22.0,24.78,21.57,25.78,21.044,20.53,21.4908,22.4564
28,Mike Evans,WR,6800,TB@Atl 01:00PM ET,13.36,TB,22.5,25.2,16.71,22.6,15.73,17.05,15.629,19.3455714286
29,Drew Brees,QB,6700,NYG@NO 01:00PM ET,18.79,NO,22.0,22.9,21.69,23.9,22.646,22.084,19.4152,22.0907428571
30,Ben Roethlisberger,QB,6700,Cin@Pit 01:00PM ET,20.793,Pit,19.9,18.4,12.25,19.4,22.428,17.85,8.5704,16.9712
31,Amari Cooper,WR,6700,NYJ@Oak 04:05PM ET,18.517,Oak,17.0,29.0,16.9,27.0,13.94,12.29,15.176,18.758
32,Eli Manning,QB,6600,NYG@NO 01:00PM ET,16.834,NYG,22.4,17.48,18.07,18.48,18.58,17.41,18.738,18.7368571429
