,QB,QB_sal,QB_score,RB1,RB1_sal,RB1_score,RB2,RB2_sal,RB2_score,WR1,WR1_sal,WR1_score,WR2,WR2_sal,WR2_score,WR3,WR3_sal,WR3_score,TE,TE_sal,TE_score,FLEX,FLEX_sal,FLEX_score,salary,score,Unique_flex
1,Philip Rivers,6600,22.84674286,Le'Veon Bell,8300,22.62628571,Devonta Freeman,8000,22.25457143,Julio Jones,9200,24.99,Antonio Brown,7800,21.67771429,Jaron Brown,3000,6.75,Owen Daniels,2600,8.619571429,Darren Fells,2500,5.24,48000,135.004885719,1
2,Philip Rivers,6600,22.84674286,Le'Veon Bell,8300,22.62628571,Devonta Freeman,8000,22.25457143,Julio Jones,9200,24.99,Antonio Brown,7800,21.67771429,Jaron Brown,3000,6.75,Owen Daniels,2600,8.619571429,David Johnson,2500,6.337685714,48000,136.102571433,1
3,Philip Rivers,6600,22.84674286,Le'Veon Bell,8300,22.62628571,Devonta Freeman,8000,22.25457143,Julio Jones,9200,24.99,Antonio Brown,7800,21.67771429,Jaron Brown,3000,6.75,David Johnson,2500,6.337685714,Owen Daniels,2600,8.619571429,48000,136.102571433,1
4,Philip Rivers,6600,22.84674286,Le'Veon Bell,8300,22.62628571,Devonta Freeman,8000,22.25457143,Julio Jones,9200,24.99,Antonio Brown,7800,21.67771429,Nick Williams,3000,6.824666667,Owen Daniels,2600,8.619571429,David Johnson,2500,6.337685714,48000,136.1772381,1
5,Philip Rivers,6600,22.84674286,Le'Veon Bell,8300,22.62628571,Devonta Freeman,8000,22.25457143,Julio Jones,9200,24.99,Antonio Brown,7800,21.67771429,Nick Williams,3000,6.824666667,David Johnson,2500,6.337685714,Owen Daniels,2600,8.619571429,48000,136.1772381,1
6,Philip Rivers,6600,22.84674286,Le'Veon Bell,8300,22.62628571,Devonta Freeman,8000,22.25457143,Julio Jones,9200,24.99,Antonio Brown,7800,21.67771429,Justin Hunter,3000,7.011,Owen Daniels,2600,8.619571429,David Johnson,2500,6.337685714,48000,136.363571433,1
7,Philip Rivers,6600,22.84674286,Le'Veon Bell,8300,22.62628571,Devonta Freeman,8000,22.25457143,Julio Jones,9200,24.99,Antonio Brown,7800,21.67771429,Justin Hunter,3000,7.011,David Johnson,2500,6.337685714,Owen Daniels,2600,8.619571429,48000,136.363571433,1
11,Philip Rivers,6600,22.84674286,Le'Veon Bell,8300,22.62628571,Devonta Freeman,8000,22.25457143,Julio Jones,9200,24.99,Brandon Marshall,7600,19.01885714,Marques Colston,3200,10.624,Owen Daniels,2600,8.619571429,David Johnson,2500,6.337685714,48000,137.317714283,1
12,Philip Rivers,6600,22.84674286,Le'Veon Bell,8300,22.62628571,Devonta Freeman,8000,22.25457143,Julio Jones,9200,24.99,Brandon Marshall,7600,19.01885714,Marques Colston,3200,10.624,David Johnson,2500,6.337685714,Owen Daniels,2600,8.619571429,48000,137.317714283,1
13,Philip Rivers,6600,22.84674286,Le'Veon Bell,8300,22.62628571,Devonta Freeman,8000,22.25457143,Julio Jones,9200,24.99,Brandon Marshall,7600,19.01885714,Jaron Brown,3000,6.75,Austin Seferian-Jenkins,2800,13.375,David Johnson,2500,6.337685714,48000,138.199142854,1
14,Philip Rivers,6600,22.84674286,Le'Veon Bell,8300,22.62628571,Devonta Freeman,8000,22.25457143,Julio Jones,9200,24.99,Brandon Marshall,7600,19.01885714,Jaron Brown,3000,6.75,David Johnson,2500,6.337685714,Austin Seferian-Jenkins,2800,13.375,48000,138.199142854,1
15,Philip Rivers,6600,22.84674286,Le'Veon Bell,8300,22.62628571,Devonta Freeman,8000,22.25457143,Julio Jones,9200,24.99,Brandon Marshall,7600,19.01885714,Nick Williams,3000,6.824666667,Austin Seferian-Jenkins,2800,13.375,David Johnson,2500,6.337685714,48000,138.273809521,1
16,Philip Rivers,6600,22.84674286,Le'Veon Bell,8300,22.62628571,Devonta Freeman,8000,22.25457143,Julio Jones,9200,24.99,Brandon Marshall,7600,19.01885714,Nick Williams,3000,6.824666667,David Johnson,2500,6.337685714,Austin Seferian-Jenkins,2800,13.375,48000,138.273809521,1
17,Philip Rivers,6600,22.84674286,Le'Veon Bell,8300,22.62628571,Devonta Freeman,8000,22.25457143,Julio Jones,9200,24.99,Brandon Marshall,7600,19.01885714,Justin Hunter,3000,7.011,Austin Seferian-Jenkins,2800,13.375,David Johnson,2500,6.337685714,48000,138.460142854,1
18,Philip Rivers,6600,22.84674286,Le'Veon Bell,8300,22.62628571,Devonta Freeman,8000,22.25457143,Julio Jones,9200,24.99,Brandon Marshall,7600,19.01885714,Justin Hunter,3000,7.011,David Johnson,2500,6.337685714,Austin Seferian-Jenkins,2800,13.375,48000,138.460142854,1
19,Philip Rivers,6600,22.84674286,Le'Veon Bell,8300,22.62628571,Devonta Freeman,8000,22.25457143,Julio Jones,9200,24.99,A.J. Green,7600,21.156,Marques Colston,3200,10.624,Owen Daniels,2600,8.619571429,David Johnson,2500,6.337685714,48000,139.454857143,1
20,Philip Rivers,6600,22.84674286,Le'Veon Bell,8300,22.62628571,Devonta Freeman,8000,22.25457143,Julio Jones,9200,24.99,A.J. Green,7600,21.156,Marques Colston,3200,10.624,David Johnson,2500,6.337685714,Owen Daniels,2600,8.619571429,48000,139.454857143,1
21,Philip Rivers,6600,22.84674286,Le'Veon Bell,8300,22.62628571,Devonta Freeman,8000,22.25457143,Julio Jones,9200,24.99,A.J. Green,7600,21.156,Jaron Brown,3000,6.75,Austin Seferian-Jenkins,2800,13.375,David Johnson,2500,6.337685714,48000,140.336285714,1
22,Philip Rivers,6600,22.84674286,Le'Veon Bell,8300,22.62628571,Devonta Freeman,8000,22.25457143,Julio Jones,9200,24.99,A.J. Green,7600,21.156,Jaron Brown,3000,6.75,David Johnson,2500,6.337685714,Austin Seferian-Jenkins,2800,13.375,48000,140.336285714,1
23,Philip Rivers,6600,22.84674286,Le'Veon Bell,8300,22.62628571,Devonta Freeman,8000,22.25457143,Julio Jones,9200,24.99,A.J. Green,7600,21.156,Nick Williams,3000,6.824666667,Austin Seferian-Jenkins,2800,13.375,David Johnson,2500,6.337685714,48000,140.410952381,1
24,Philip Rivers,6600,22.84674286,Le'Veon Bell,8300,22.62628571,Devonta Freeman,8000,22.25457143,Julio Jones,9200,24.99,A.J. Green,7600,21.156,Nick Williams,3000,6.824666667,David Johnson,2500,6.337685714,Austin Seferian-Jenkins,2800,13.375,48000,140.410952381,1
25,Philip Rivers,6600,22.84674286,Le'Veon Bell,8300,22.62628571,Devonta Freeman,8000,22.25457143,Julio Jones,9200,24.99,A.J. Green,7600,21.156,Justin Hunter,3000,7.011,Austin Seferian-Jenkins,2800,13.375,David Johnson,2500,6.337685714,48000,140.597285714,1
26,Philip Rivers,6600,22.84674286,Le'Veon Bell,8300,22.62628571,Devonta Freeman,8000,22.25457143,Julio Jones,9200,24.99,A.J. Green,7600,21.156,Justin Hunter,3000,7.011,David Johnson,2500,6.337685714,Austin Seferian-Jenkins,2800,13.375,48000,140.597285714,1
27,Philip Rivers,6600,22.84674286,Le'Veon Bell,8300,22.62628571,Devonta Freeman,8000,22.25457143,Julio Jones,9200,24.99,Mike Evans,6800,19.80285714,Malcom Floyd,3500,10.07414286,Austin Seferian-Jenkins,2800,13.375,Coby Fleener,2800,6.948714286,48000,142.918314286,1
