,QB,QB_sal,QB_score,RB1,RB1_sal,RB1_score,RB2,RB2_sal,RB2_score,WR1,WR1_sal,WR1_score,WR2,WR2_sal,WR2_score,WR3,WR3_sal,WR3_score,TE,TE_sal,TE_score,FLEX,FLEX_sal,FLEX_score,salary,score,Unique_flex
1,Matt Ryan,7100,22.88,Le'Veon Bell,8300,21.59,Devonta Freeman,8000,18.25,Julio Jones,9200,27.5,Mike Evans,6800,16.73,Jerricho Cotchery,3000,7.98,Crockett Gillmore,2500,7.97,Owen Daniels,2600,6.53,47500,129.43,1
2,Matt Ryan,7100,22.88,Le'Veon Bell,8300,21.59,Devonta Freeman,8000,18.25,Julio Jones,9200,27.5,Mike Evans,6800,16.73,Jerricho Cotchery,3000,7.98,Crockett Gillmore,2500,7.97,Jared Cook,2600,7.38,47500,130.28,1
4,Matt Ryan,7100,22.88,Le'Veon Bell,8300,21.59,Devonta Freeman,8000,18.25,Julio Jones,9200,27.5,Mike Evans,6800,16.73,Jaelen Strong,3000,9.19,Crockett Gillmore,2500,7.97,Jared Cook,2600,7.38,47500,131.49,1
6,Matt Ryan,7100,22.88,Le'Veon Bell,8300,21.59,Devonta Freeman,8000,18.25,Julio Jones,9200,27.5,Amari Cooper,6700,16.92,Stevie Johnson,3200,11.35,Crockett Gillmore,2500,7.97,John Phillips,2500,5.86,47500,132.32,1
7,Matt Ryan,7100,22.88,Le'Veon Bell,8300,21.59,Devonta Freeman,8000,18.25,Julio Jones,9200,27.5,Amari Cooper,6700,16.92,Stevie Johnson,3200,11.35,Crockett Gillmore,2500,7.97,Lance Kendricks,2500,5.89,47500,132.35,1
8,Matt Ryan,7100,22.88,Le'Veon Bell,8300,21.59,Devonta Freeman,8000,18.25,Julio Jones,9200,27.5,Amari Cooper,6700,16.92,Stevie Johnson,3200,11.35,Crockett Gillmore,2500,7.97,Josh Hill,2500,6.2,47500,132.66,1
11,Matt Ryan,7100,22.88,Le'Veon Bell,8300,21.59,Devonta Freeman,8000,18.25,Julio Jones,9200,27.5,Alshon Jeffery,6400,15.52,Stevie Johnson,3200,11.35,Austin Seferian-Jenkins,2800,10.62,Crockett Gillmore,2500,7.97,47500,135.68,1
12,Matt Ryan,7100,22.88,Le'Veon Bell,8300,21.59,Devonta Freeman,8000,18.25,Julio Jones,9200,27.5,Jeremy Maclin,6200,15.7,Ted Ginn Jr.,3400,12.8,Austin Seferian-Jenkins,2800,10.62,Crockett Gillmore,2500,7.97,47500,137.31,1
13,Matt Ryan,7100,22.88,Le'Veon Bell,8300,21.59,Devonta Freeman,8000,18.25,Julio Jones,9200,27.5,Jeremy Maclin,6200,15.7,Ted Ginn Jr.,3400,12.8,Crockett Gillmore,2500,7.97,Austin Seferian-Jenkins,2800,10.62,47500,137.31,1
14,Matt Ryan,7100,22.88,Le'Veon Bell,8300,21.59,Devonta Freeman,8000,18.25,Julio Jones,9200,27.5,Steve Smith Sr.,6100,16.78,Doug Baldwin,3500,12.15,Austin Seferian-Jenkins,2800,10.62,Crockett Gillmore,2500,7.97,47500,137.74,1
