,player,pts_against,def_pts
0,Detroit,26.0,0
1,Chicago,22.25,0
2,Tampa Bay,31.25,-1
3,NY Giants,27.75,-1
4,San Francisco,28.25,-1
5,Cleveland,29.25,-1
6,Cincinnati,24.25,0
7,San Diego,28.75,-1
8,Tennessee,25.75,0
9,Oakland,25.0,0
10,Dallas,25.5,0
11,Denver,25.25,0
12,Indianapolis,30.25,-1
13,Kansas City,19.0,1
14,Minnesota,20.25,0
15,Atlanta,17.25,1
16,New Orleans,21.75,0
17,St. Louis,11.25,4
18,Arizona,17.25,1
19,Pittsburgh,24.25,0
20,Baltimore,21.75,0
21,Houston,16.75,1
22,NY Jets,19.0,1
23,Seattle,15.5,1
24,Green Bay,20.25,0
25,Carolina,16.25,1
