,QB,QB_sal,QB_score,RB1,RB1_sal,RB1_score,RB2,RB2_sal,RB2_score,WR1,WR1_sal,WR1_score,WR2,WR2_sal,WR2_score,WR3,WR3_sal,WR3_score,TE,TE_sal,TE_score,FLEX,FLEX_sal,FLEX_score,salary,score,Unique_flex
1,Philip Rivers,6600,23.974,Devonta Freeman,8000,24.29,Matt Forte,7300,20.01,Julio Jones,9200,21.78,Antonio Brown,7800,23.89,Nate Washington,3600,12.16,Crockett Gillmore,2500,7.75,Anthony Fasano,2500,5.92,47500,139.774,1
2,Philip Rivers,6600,23.974,Devonta Freeman,8000,24.29,Matt Forte,7300,20.01,Julio Jones,9200,21.78,Antonio Brown,7800,23.89,Nate Washington,3600,12.16,Crockett Gillmore,2500,7.75,Brandon Myers,2500,5.96,47500,139.814,1
4,Philip Rivers,6600,23.974,Devonta Freeman,8000,24.29,Matt Forte,7300,20.01,Julio Jones,9200,21.78,Antonio Brown,7800,23.89,Ted Ginn Jr.,3400,10.43,Heath Miller,2700,9.94,Crockett Gillmore,2500,7.75,47500,142.064,1
5,Philip Rivers,6600,23.974,Devonta Freeman,8000,24.29,Matt Forte,7300,20.01,Julio Jones,9200,21.78,Antonio Brown,7800,23.89,Ted Ginn Jr.,3400,10.43,Crockett Gillmore,2500,7.75,Heath Miller,2700,9.94,47500,142.064,1
7,Philip Rivers,6600,23.974,Devonta Freeman,8000,24.29,Matt Forte,7300,20.01,Julio Jones,9200,21.78,Michael Crabtree,4700,15.08,Nate Washington,3600,12.16,Delanie Walker,4100,12.88,Darren McFadden,3800,14.97,47300,145.144,1
8,Philip Rivers,6600,23.974,Devonta Freeman,8000,24.29,Matt Forte,7300,20.01,Julio Jones,9200,21.78,Michael Crabtree,4700,15.08,Markus Wheaton,3000,8.28,Owen Daniels,2600,8.66,Justin Forsett,6100,23.91,47500,145.984,1
9,Philip Rivers,6600,23.974,Devonta Freeman,8000,24.29,Matt Forte,7300,20.01,Julio Jones,9200,21.78,Michael Crabtree,4700,15.08,Justin Hunter,3000,9.34,Owen Daniels,2600,8.66,Justin Forsett,6100,23.91,47500,147.044,1
10,Philip Rivers,6600,23.974,Devonta Freeman,8000,24.29,Matt Forte,7300,20.01,Julio Jones,9200,21.78,Anquan Boldin,4400,13.49,Stevie Johnson,3200,10.91,Heath Miller,2700,9.94,Justin Forsett,6100,23.91,47500,148.304,1
11,Philip Rivers,6600,23.974,Devonta Freeman,8000,24.29,Matt Forte,7300,20.01,Antonio Brown,7800,23.89,Demaryius Thomas,7700,19.76,Nate Washington,3600,12.16,Heath Miller,2700,9.94,Darren McFadden,3800,14.97,47500,148.994,1
12,Philip Rivers,6600,23.974,Devonta Freeman,8000,24.29,Matt Forte,7300,20.01,Antonio Brown,7800,23.89,Jeremy Maclin,6200,17.49,Michael Crabtree,4700,15.08,Ladarius Green,3000,10.66,Darren McFadden,3800,14.97,47400,150.364,1
13,Philip Rivers,6600,23.974,Devonta Freeman,8000,24.29,Matt Forte,7300,20.01,Antonio Brown,7800,23.89,Jeremy Maclin,6200,17.49,Justin Hunter,3000,9.34,Crockett Gillmore,2500,7.75,Justin Forsett,6100,23.91,47500,150.654,1
14,Philip Rivers,6600,23.974,Devonta Freeman,8000,24.29,Matt Forte,7300,20.01,Antonio Brown,7800,23.89,Donte Moncrief,5500,14.36,Nate Washington,3600,12.16,Owen Daniels,2600,8.66,Justin Forsett,6100,23.91,47500,151.254,1
15,Philip Rivers,6600,23.974,Devonta Freeman,8000,24.29,Matt Forte,7300,20.01,Antonio Brown,7800,23.89,Donte Moncrief,5500,14.36,Stevie Johnson,3200,10.91,Ladarius Green,3000,10.66,Justin Forsett,6100,23.91,47500,152.004,1
16,Philip Rivers,6600,23.974,Devonta Freeman,8000,24.29,Matt Forte,7300,20.01,Antonio Brown,7800,23.89,Michael Crabtree,4700,15.08,Anquan Boldin,4400,13.49,Owen Daniels,2600,8.66,Justin Forsett,6100,23.91,47500,153.304,1
17,Philip Rivers,6600,23.974,Devonta Freeman,8000,24.29,Matt Forte,7300,20.01,Antonio Brown,7800,23.89,Michael Crabtree,4700,15.08,Nate Washington,3600,12.16,Larry Donnell,3300,11.08,Justin Forsett,6100,23.91,47400,154.394,1
18,Philip Rivers,6600,23.974,Devonta Freeman,8000,24.29,Todd Gurley,6300,19.59,Antonio Brown,7800,23.89,Jeremy Maclin,6200,17.49,Nate Washington,3600,12.16,Heath Miller,2700,9.94,Justin Forsett,6100,23.91,47300,155.244,1
19,Philip Rivers,6600,23.974,Devonta Freeman,8000,24.29,Todd Gurley,6300,19.59,Antonio Brown,7800,23.89,Michael Crabtree,4700,15.08,Anquan Boldin,4400,13.49,Larry Donnell,3300,11.08,Justin Forsett,6100,23.91,47200,155.304,1
20,Philip Rivers,6600,23.974,Devonta Freeman,8000,24.29,Todd Gurley,6300,19.59,Antonio Brown,7800,23.89,Michael Crabtree,4700,15.08,Nate Washington,3600,12.16,Delanie Walker,4100,12.88,Justin Forsett,6100,23.91,47200,155.774,1
21,Philip Rivers,6600,23.974,Devonta Freeman,8000,24.29,Justin Forsett,6100,23.91,Antonio Brown,7800,23.89,Demaryius Thomas,7700,19.76,Michael Crabtree,4700,15.08,Heath Miller,2700,9.94,Darren McFadden,3800,14.97,47400,155.814,1
