,QB,QB_sal,QB_score,RB1,RB1_sal,RB1_score,RB2,RB2_sal,RB2_score,WR1,WR1_sal,WR1_score,WR2,WR2_sal,WR2_score,WR3,WR3_sal,WR3_score,TE,TE_sal,TE_score,FLEX,FLEX_sal,FLEX_score,salary,score,Unique_flex
1,Philip Rivers,6500,23.924,Devonta Freeman,7900,21.78,Adrian Peterson,7600,17.86,Odell Beckham Jr.,8700,18.15,DeAndre Hopkins,8600,23.48,Michael Floyd,3200,10.78,Crockett Gillmore,2500,9.01,Scott Chandler,2500,5.53,47500,130.514,1
2,Philip Rivers,6500,23.924,Devonta Freeman,7900,21.78,Adrian Peterson,7600,17.86,Odell Beckham Jr.,8700,18.15,DeAndre Hopkins,8600,23.48,Michael Floyd,3200,10.78,Crockett Gillmore,2500,9.01,David Johnson,2500,7.1,47500,132.084,1
4,Philip Rivers,6500,23.924,Devonta Freeman,7900,21.78,Adrian Peterson,7600,17.86,Odell Beckham Jr.,8700,18.15,Larry Fitzgerald,7400,18.93,Jamison Crowder,3700,10.56,Crockett Gillmore,2500,9.01,Matt Jones,3200,14.4,47500,134.614,1
5,Philip Rivers,6500,23.924,Devonta Freeman,7900,21.78,Adrian Peterson,7600,17.86,Odell Beckham Jr.,8700,18.15,Larry Fitzgerald,7400,18.93,Danny Amendola,3500,10.99,Crockett Gillmore,2500,9.01,Matt Jones,3200,14.4,47300,135.044,1
6,Philip Rivers,6500,23.924,Devonta Freeman,7900,21.78,Adrian Peterson,7600,17.86,Odell Beckham Jr.,8700,18.15,Larry Fitzgerald,7400,18.93,Michael Floyd,3200,10.78,Eric Ebron,3000,10.3,Matt Jones,3200,14.4,47500,136.124,1
7,Philip Rivers,6500,23.924,Devonta Freeman,7900,21.78,Adrian Peterson,7600,17.86,Odell Beckham Jr.,8700,18.15,Allen Robinson,6400,16.99,Michael Floyd,3200,10.78,Delanie Walker,3900,12.33,Matt Jones,3200,14.4,47400,136.214,1
8,Philip Rivers,6500,23.924,Devonta Freeman,7900,21.78,Adrian Peterson,7600,17.86,Odell Beckham Jr.,8700,18.15,Steve Smith Sr.,6200,13.87,Nate Washington,3000,10.49,Crockett Gillmore,2500,9.01,Todd Gurley,5000,22.66,47400,137.744,1
9,Philip Rivers,6500,23.924,Devonta Freeman,7900,21.78,Adrian Peterson,7600,17.86,Odell Beckham Jr.,8700,18.15,Jarvis Landry,6200,15.3,Nate Washington,3000,10.49,Crockett Gillmore,2500,9.01,Todd Gurley,5000,22.66,47400,139.174,1
10,Philip Rivers,6500,23.924,Devonta Freeman,7900,21.78,Adrian Peterson,7600,17.86,Odell Beckham Jr.,8700,18.15,John Brown,5500,14.81,Danny Amendola,3500,10.99,Crockett Gillmore,2500,9.01,Todd Gurley,5000,22.66,47200,139.184,1
11,Philip Rivers,6500,23.924,Devonta Freeman,7900,21.78,Adrian Peterson,7600,17.86,Odell Beckham Jr.,8700,18.15,John Brown,5500,14.81,Ted Ginn Jr.,3300,9.88,Eric Ebron,3000,10.3,Todd Gurley,5000,22.66,47500,139.364,1
12,Philip Rivers,6500,23.924,Devonta Freeman,7900,21.78,Adrian Peterson,7600,17.86,Odell Beckham Jr.,8700,18.15,John Brown,5500,14.81,Michael Floyd,3200,10.78,Eric Ebron,3000,10.3,Todd Gurley,5000,22.66,47400,140.264,1
13,Philip Rivers,6500,23.924,Devonta Freeman,7900,21.78,Adrian Peterson,7600,17.86,Odell Beckham Jr.,8700,18.15,John Brown,5500,14.81,Nate Washington,3000,10.49,Jordan Cameron,3300,11.08,Todd Gurley,5000,22.66,47500,140.754,1
