,QB,QB_sal,QB_score,RB1,RB1_sal,RB1_score,RB2,RB2_sal,RB2_score,WR1,WR1_sal,WR1_score,WR2,WR2_sal,WR2_score,WR3,WR3_sal,WR3_score,TE,TE_sal,TE_score,FLEX,FLEX_sal,FLEX_score,salary,score,Unique_flex
1,Philip Rivers,6600,28.2,Devonta Freeman,8000,24.0,Adrian Peterson,7400,24.0,Julio Jones,9200,28.0,Antonio Brown,7800,23.5,Malcom Floyd,3500,16.0,David Johnson,2500,6.5,Brandon Myers,2500,4.0,47500,154.2,1
3,Philip Rivers,6600,28.2,Devonta Freeman,8000,24.0,Adrian Peterson,7400,24.0,Julio Jones,9200,28.0,Antonio Brown,7800,23.5,Malcom Floyd,3500,16.0,David Johnson,2500,6.5,Crockett Gillmore,2500,6.5,47500,156.7,1
4,Philip Rivers,6600,28.2,Devonta Freeman,8000,24.0,Adrian Peterson,7400,24.0,Julio Jones,9200,28.0,Antonio Brown,7800,23.5,Malcom Floyd,3500,16.0,Crockett Gillmore,2500,6.5,David Johnson,2500,6.5,47500,156.7,1
7,Philip Rivers,6600,28.2,Devonta Freeman,8000,24.0,Adrian Peterson,7400,24.0,Julio Jones,9200,28.0,Antonio Brown,7800,23.5,Doug Baldwin,3500,17.0,David Johnson,2500,6.5,Crockett Gillmore,2500,6.5,47500,157.7,1
8,Philip Rivers,6600,28.2,Devonta Freeman,8000,24.0,Adrian Peterson,7400,24.0,Julio Jones,9200,28.0,Antonio Brown,7800,23.5,Doug Baldwin,3500,17.0,Crockett Gillmore,2500,6.5,David Johnson,2500,6.5,47500,157.7,1
10,Philip Rivers,6600,28.2,Devonta Freeman,8000,24.0,Adrian Peterson,7400,24.0,Julio Jones,9200,28.0,Antonio Brown,7800,23.5,Cole Beasley,3000,6.5,Ladarius Green,3000,18.5,David Johnson,2500,6.5,47500,159.2,1
11,Philip Rivers,6600,28.2,Devonta Freeman,8000,24.0,Adrian Peterson,7400,24.0,Julio Jones,9200,28.0,Antonio Brown,7800,23.5,Cole Beasley,3000,6.5,Ladarius Green,3000,18.5,Crockett Gillmore,2500,6.5,47500,159.2,1
12,Philip Rivers,6600,28.2,Devonta Freeman,8000,24.0,Adrian Peterson,7400,24.0,Julio Jones,9200,28.0,Antonio Brown,7800,23.5,Cole Beasley,3000,6.5,David Johnson,2500,6.5,Ladarius Green,3000,18.5,47500,159.2,1
13,Philip Rivers,6600,28.2,Devonta Freeman,8000,24.0,Adrian Peterson,7400,24.0,Julio Jones,9200,28.0,Antonio Brown,7800,23.5,Cole Beasley,3000,6.5,Crockett Gillmore,2500,6.5,Ladarius Green,3000,18.5,47500,159.2,1
14,Philip Rivers,6600,28.2,Devonta Freeman,8000,24.0,Adrian Peterson,7400,24.0,Julio Jones,9200,28.0,Antonio Brown,7800,23.5,Justin Hunter,3000,7.0,Ladarius Green,3000,18.5,David Johnson,2500,6.5,47500,159.7,1
15,Philip Rivers,6600,28.2,Devonta Freeman,8000,24.0,Adrian Peterson,7400,24.0,Julio Jones,9200,28.0,Antonio Brown,7800,23.5,Justin Hunter,3000,7.0,Ladarius Green,3000,18.5,Crockett Gillmore,2500,6.5,47500,159.7,1
16,Philip Rivers,6600,28.2,Devonta Freeman,8000,24.0,Adrian Peterson,7400,24.0,Julio Jones,9200,28.0,Antonio Brown,7800,23.5,Justin Hunter,3000,7.0,David Johnson,2500,6.5,Ladarius Green,3000,18.5,47500,159.7,1
17,Philip Rivers,6600,28.2,Devonta Freeman,8000,24.0,Adrian Peterson,7400,24.0,Julio Jones,9200,28.0,Antonio Brown,7800,23.5,Justin Hunter,3000,7.0,Crockett Gillmore,2500,6.5,Ladarius Green,3000,18.5,47500,159.7,1
18,Philip Rivers,6600,28.2,Devonta Freeman,8000,24.0,Adrian Peterson,7400,24.0,Julio Jones,9200,28.0,Antonio Brown,7800,23.5,Tyler Lockett,3000,8.5,Ladarius Green,3000,18.5,David Johnson,2500,6.5,47500,161.2,1
19,Philip Rivers,6600,28.2,Devonta Freeman,8000,24.0,Adrian Peterson,7400,24.0,Julio Jones,9200,28.0,Antonio Brown,7800,23.5,Tyler Lockett,3000,8.5,Ladarius Green,3000,18.5,Crockett Gillmore,2500,6.5,47500,161.2,1
20,Philip Rivers,6600,28.2,Devonta Freeman,8000,24.0,Adrian Peterson,7400,24.0,Julio Jones,9200,28.0,Antonio Brown,7800,23.5,Tyler Lockett,3000,8.5,David Johnson,2500,6.5,Ladarius Green,3000,18.5,47500,161.2,1
21,Philip Rivers,6600,28.2,Devonta Freeman,8000,24.0,Adrian Peterson,7400,24.0,Julio Jones,9200,28.0,Antonio Brown,7800,23.5,Tyler Lockett,3000,8.5,Crockett Gillmore,2500,6.5,Ladarius Green,3000,18.5,47500,161.2,1
22,Philip Rivers,6600,28.2,Devonta Freeman,8000,24.0,Adrian Peterson,7400,24.0,Julio Jones,9200,28.0,Keenan Allen,7700,27.0,Malcom Floyd,3500,16.0,Jared Cook,2600,7.5,David Johnson,2500,6.5,47500,161.2,1
23,Philip Rivers,6600,28.2,Devonta Freeman,8000,24.0,Adrian Peterson,7400,24.0,Julio Jones,9200,28.0,Keenan Allen,7700,27.0,Malcom Floyd,3500,16.0,Jared Cook,2600,7.5,Crockett Gillmore,2500,6.5,47500,161.2,1
