,QB,QB_sal,QB_score,RB1,RB1_sal,RB1_score,RB2,RB2_sal,RB2_score,WR1,WR1_sal,WR1_score,WR2,WR2_sal,WR2_score,WR3,WR3_sal,WR3_score,TE,TE_sal,TE_score,FLEX,FLEX_sal,FLEX_score,salary,score,Unique_flex
1,Tom Brady,8300,25.7662,Devonta Freeman,8000,22.852,Adrian Peterson,7400,18.359,Julio Jones,9200,20.24,Jeremy Maclin,6200,16.3668,Ted Ginn Jr.,3400,10.144,Crockett Gillmore,2500,8.958,Anthony Fasano,2500,4.433,47500,127.119,1
2,Tom Brady,8300,25.7662,Devonta Freeman,8000,22.852,Adrian Peterson,7400,18.359,Julio Jones,9200,20.24,Jeremy Maclin,6200,16.3668,Ted Ginn Jr.,3400,10.144,Crockett Gillmore,2500,8.958,Brandon Myers,2500,4.882,47500,127.568,1
3,Tom Brady,8300,25.7662,Devonta Freeman,8000,22.852,Adrian Peterson,7400,18.359,Julio Jones,9200,20.24,Jeremy Maclin,6200,16.3668,Ted Ginn Jr.,3400,10.144,Crockett Gillmore,2500,8.958,David Johnson,2500,7.5238,47500,130.2098,1
5,Tom Brady,8300,25.7662,Devonta Freeman,8000,22.852,Adrian Peterson,7400,18.359,Julio Jones,9200,20.24,Brandin Cooks,5400,15.069,Nate Washington,3600,10.422,Eric Ebron,3100,10.044,Crockett Gillmore,2500,8.958,47500,131.7102,1
6,Tom Brady,8300,25.7662,Devonta Freeman,8000,22.852,Adrian Peterson,7400,18.359,Julio Jones,9200,20.24,Brandin Cooks,5400,15.069,Nate Washington,3600,10.422,Crockett Gillmore,2500,8.958,Eric Ebron,3100,10.044,47500,131.7102,1
7,Tom Brady,8300,25.7662,Devonta Freeman,8000,22.852,Adrian Peterson,7400,18.359,Julio Jones,9200,20.24,Brandin Cooks,5400,15.069,Michael Floyd,3500,9.494,Crockett Gillmore,2500,8.958,Reggie Bush,3200,12.402,47500,133.1402,1
8,Tom Brady,8300,25.7662,Devonta Freeman,8000,22.852,Adrian Peterson,7400,18.359,Julio Jones,9200,20.24,Brandin Cooks,5400,15.069,Ted Ginn Jr.,3400,10.144,Crockett Gillmore,2500,8.958,Reggie Bush,3200,12.402,47400,133.7902,1
9,Tom Brady,8300,25.7662,Devonta Freeman,8000,22.852,Adrian Peterson,7400,18.359,Julio Jones,9200,20.24,Stefon Diggs,4800,12.013,Michael Floyd,3500,9.494,Crockett Gillmore,2500,8.958,Darren McFadden,3800,16.283,47500,133.9652,1
10,Tom Brady,8300,25.7662,Devonta Freeman,8000,22.852,Adrian Peterson,7400,18.359,Julio Jones,9200,20.24,Stefon Diggs,4800,12.013,Ted Ginn Jr.,3400,10.144,Crockett Gillmore,2500,8.958,Darren McFadden,3800,16.283,47400,134.6152,1
11,Tom Brady,8300,25.7662,Devonta Freeman,8000,22.852,Adrian Peterson,7400,18.359,DeAndre Hopkins,8700,25.487,Mike Evans,6800,18.01,Stevie Johnson,3200,8.201,Crockett Gillmore,2500,8.958,David Johnson,2500,7.5238,47400,135.157,1
13,Tom Brady,8300,25.7662,Devonta Freeman,8000,22.852,Adrian Peterson,7400,18.359,DeAndre Hopkins,8700,25.487,Jeremy Maclin,6200,16.3668,Nate Washington,3600,10.422,Coby Fleener,2800,9.071,Crockett Gillmore,2500,8.958,47500,137.282,1
14,Tom Brady,8300,25.7662,Devonta Freeman,8000,22.852,Adrian Peterson,7400,18.359,DeAndre Hopkins,8700,25.487,Jeremy Maclin,6200,16.3668,Nate Washington,3600,10.422,Crockett Gillmore,2500,8.958,Coby Fleener,2800,9.071,47500,137.282,1
