,QB,QB_sal,QB_score,RB1,RB1_sal,RB1_score,RB2,RB2_sal,RB2_score,WR1,WR1_sal,WR1_score,WR2,WR2_sal,WR2_score,WR3,WR3_sal,WR3_score,TE,TE_sal,TE_score,FLEX,FLEX_sal,FLEX_score,salary,score,Unique_flex
1,Aaron Rodgers,7500,28.78,Le'Veon Bell,8300,24.7,Adrian Peterson,7400,24.6,Julio Jones,9200,27.1,Randall Cobb,7000,22.7,Darrius Heyward-Bey,3000,8.6,Owen Daniels,2600,11.9,Scott Chandler,2500,6.4,47500,154.78,1
2,Aaron Rodgers,7500,28.78,Le'Veon Bell,8300,24.7,Adrian Peterson,7400,24.6,Julio Jones,9200,27.1,Randall Cobb,7000,22.7,Darrius Heyward-Bey,3000,8.6,Owen Daniels,2600,11.9,David Johnson,2500,7.6,47500,155.98,1
3,Aaron Rodgers,7500,28.78,Le'Veon Bell,8300,24.7,Adrian Peterson,7400,24.6,Julio Jones,9200,27.1,Randall Cobb,7000,22.7,Darrius Heyward-Bey,3000,8.6,David Johnson,2500,7.6,Owen Daniels,2600,11.9,47500,155.98,1
4,Aaron Rodgers,7500,28.78,Le'Veon Bell,8300,24.7,Adrian Peterson,7400,24.6,Julio Jones,9200,27.1,Randall Cobb,7000,22.7,De'Anthony Thomas,3000,8.9,Owen Daniels,2600,11.9,David Johnson,2500,7.6,47500,156.28,1
5,Aaron Rodgers,7500,28.78,Le'Veon Bell,8300,24.7,Adrian Peterson,7400,24.6,Julio Jones,9200,27.1,Randall Cobb,7000,22.7,De'Anthony Thomas,3000,8.9,David Johnson,2500,7.6,Owen Daniels,2600,11.9,47500,156.28,1
6,Aaron Rodgers,7500,28.78,Le'Veon Bell,8300,24.7,Adrian Peterson,7400,24.6,Julio Jones,9200,27.1,T.Y. Hilton,6900,21.1,Marques Colston,3200,16.8,David Johnson,2500,7.6,Scott Chandler,2500,6.4,47500,157.08,1
10,Aaron Rodgers,7500,28.78,Le'Veon Bell,8300,24.7,Adrian Peterson,7400,24.6,Julio Jones,9200,27.1,Mike Evans,6800,22.6,Marques Colston,3200,16.8,Owen Daniels,2600,11.9,Scott Chandler,2500,6.4,47500,162.88,1
11,Aaron Rodgers,7500,28.78,Le'Veon Bell,8300,24.7,Adrian Peterson,7400,24.6,Julio Jones,9200,27.1,Mike Evans,6800,22.6,Marques Colston,3200,16.8,Owen Daniels,2600,11.9,David Johnson,2500,7.6,47500,164.08,1
12,Aaron Rodgers,7500,28.78,Le'Veon Bell,8300,24.7,Adrian Peterson,7400,24.6,Julio Jones,9200,27.1,Mike Evans,6800,22.6,Marques Colston,3200,16.8,David Johnson,2500,7.6,Owen Daniels,2600,11.9,47500,164.08,1
15,Aaron Rodgers,7500,28.78,Le'Veon Bell,8300,24.7,Adrian Peterson,7400,24.6,Julio Jones,9200,27.1,Stefon Diggs,4800,19.5,Mike Wallace,4200,18.1,Larry Donnell,3300,16.7,Austin Seferian-Jenkins,2800,16.7,47500,176.18,1
16,Aaron Rodgers,7500,28.78,Le'Veon Bell,8300,24.7,Adrian Peterson,7400,24.6,Julio Jones,9200,27.1,Stefon Diggs,4800,19.5,Mike Wallace,4200,18.1,Austin Seferian-Jenkins,2800,16.7,Larry Donnell,3300,16.7,47500,176.18,1
17,Aaron Rodgers,7500,28.78,Le'Veon Bell,8300,24.7,Adrian Peterson,7400,24.6,Julio Jones,9200,27.1,Stefon Diggs,4800,19.5,Mike Wallace,4200,18.1,Austin Seferian-Jenkins,2800,16.7,Marques Colston,3200,16.8,47400,176.28,1
18,Aaron Rodgers,7500,28.78,Le'Veon Bell,8300,24.7,Adrian Peterson,7400,24.6,Julio Jones,9200,27.1,Stefon Diggs,4800,19.5,Marques Colston,3200,16.8,Austin Seferian-Jenkins,2800,16.7,Mike Wallace,4200,18.1,47400,176.28,1
19,Aaron Rodgers,7500,28.78,Le'Veon Bell,8300,24.7,Adrian Peterson,7400,24.6,Julio Jones,9200,27.1,Mike Wallace,4200,18.1,Marques Colston,3200,16.8,Gary Barnidge,4700,19.7,Austin Seferian-Jenkins,2800,16.7,47300,176.48,1
20,Aaron Rodgers,7500,28.78,Le'Veon Bell,8300,24.7,Adrian Peterson,7400,24.6,Julio Jones,9200,27.1,Mike Wallace,4200,18.1,Marques Colston,3200,16.8,Austin Seferian-Jenkins,2800,16.7,Gary Barnidge,4700,19.7,47300,176.48,1
23,Aaron Rodgers,7500,28.78,Le'Veon Bell,8300,24.7,Adrian Peterson,7400,24.6,Odell Beckham Jr.,8500,27.9,Amari Cooper,6700,27.0,Marques Colston,3200,16.8,Austin Seferian-Jenkins,2800,16.7,Eric Ebron,3100,14.5,47500,180.98,1
24,Aaron Rodgers,7500,28.78,Le'Veon Bell,8300,24.7,Adrian Peterson,7400,24.6,Odell Beckham Jr.,8500,27.9,Amari Cooper,6700,27.0,Marques Colston,3200,16.8,Austin Seferian-Jenkins,2800,16.7,Richard Rodgers,3000,16.0,47400,182.48,1
26,Aaron Rodgers,7500,28.78,Le'Veon Bell,8300,24.7,Adrian Peterson,7400,24.6,A.J. Green,7600,27.5,Amari Cooper,6700,27.0,Mike Wallace,4200,18.1,Austin Seferian-Jenkins,2800,16.7,Richard Rodgers,3000,16.0,47500,183.38,1
