,QB,QB_sal,QB_score,RB1,RB1_sal,RB1_score,RB2,RB2_sal,RB2_score,WR1,WR1_sal,WR1_score,WR2,WR2_sal,WR2_score,WR3,WR3_sal,WR3_score,TE,TE_sal,TE_score,FLEX,FLEX_sal,FLEX_score,salary,score,Unique_flex
1,Drew Brees,7000,27.94,Le'Veon Bell,8400,23.8,Adrian Peterson,7600,23.7,Julio Jones,9100,27.0,T.Y. Hilton,6500,21.4,Stevie Johnson,3500,12.0,Ladarius Green,2900,14.2,Marcedes Lewis,2500,6.1,47500,156.14,1
2,Drew Brees,7000,27.94,Le'Veon Bell,8400,23.8,Adrian Peterson,7600,23.7,Julio Jones,9100,27.0,T.Y. Hilton,6500,21.4,Stevie Johnson,3500,12.0,Ladarius Green,2900,14.2,Scott Chandler,2500,6.6,47500,156.64,1
3,Drew Brees,7000,27.94,Le'Veon Bell,8400,23.8,Adrian Peterson,7600,23.7,Julio Jones,9100,27.0,T.Y. Hilton,6500,21.4,Stevie Johnson,3500,12.0,Ladarius Green,2900,14.2,David Johnson,2500,7.2,47500,157.24,1
5,Drew Brees,7000,27.94,Le'Veon Bell,8400,23.8,Adrian Peterson,7600,23.7,Julio Jones,9100,27.0,T.Y. Hilton,6500,21.4,Marques Colston,3400,14.9,Eric Ebron,3000,14.5,Marcedes Lewis,2500,6.1,47500,159.34,1
6,Drew Brees,7000,27.94,Le'Veon Bell,8400,23.8,Adrian Peterson,7600,23.7,Julio Jones,9100,27.0,T.Y. Hilton,6500,21.4,Marques Colston,3400,14.9,Eric Ebron,3000,14.5,Scott Chandler,2500,6.6,47500,159.84,1
7,Drew Brees,7000,27.94,Le'Veon Bell,8400,23.8,Adrian Peterson,7600,23.7,Julio Jones,9100,27.0,T.Y. Hilton,6500,21.4,Marques Colston,3400,14.9,Eric Ebron,3000,14.5,David Johnson,2500,7.2,47500,160.44,1
9,Drew Brees,7000,27.94,Le'Veon Bell,8400,23.8,Adrian Peterson,7600,23.7,Julio Jones,9100,27.0,T.Y. Hilton,6500,21.4,De'Anthony Thomas,3000,9.1,Eric Ebron,3000,14.5,Ladarius Green,2900,14.2,47500,161.64,1
10,Drew Brees,7000,27.94,Le'Veon Bell,8400,23.8,Adrian Peterson,7600,23.7,Julio Jones,9100,27.0,T.Y. Hilton,6500,21.4,De'Anthony Thomas,3000,9.1,Ladarius Green,2900,14.2,Eric Ebron,3000,14.5,47500,161.64,1
11,Drew Brees,7000,27.94,Le'Veon Bell,8400,23.8,Adrian Peterson,7600,23.7,Julio Jones,9100,27.0,T.Y. Hilton,6500,21.4,Devin Funchess,3000,10.8,Eric Ebron,3000,14.5,Ladarius Green,2900,14.2,47500,163.34,1
12,Drew Brees,7000,27.94,Le'Veon Bell,8400,23.8,Adrian Peterson,7600,23.7,Julio Jones,9100,27.0,T.Y. Hilton,6500,21.4,Devin Funchess,3000,10.8,Ladarius Green,2900,14.2,Eric Ebron,3000,14.5,47500,163.34,1
14,Drew Brees,7000,27.94,Le'Veon Bell,8400,23.8,Adrian Peterson,7600,23.7,Julio Jones,9100,27.0,Amari Cooper,6500,23.8,De'Anthony Thomas,3000,9.1,Eric Ebron,3000,14.5,Ladarius Green,2900,14.2,47500,164.04,1
15,Drew Brees,7000,27.94,Le'Veon Bell,8400,23.8,Adrian Peterson,7600,23.7,Julio Jones,9100,27.0,Amari Cooper,6500,23.8,De'Anthony Thomas,3000,9.1,Ladarius Green,2900,14.2,Eric Ebron,3000,14.5,47500,164.04,1
16,Drew Brees,7000,27.94,Le'Veon Bell,8400,23.8,Adrian Peterson,7600,23.7,Julio Jones,9100,27.0,Amari Cooper,6500,23.8,Devin Funchess,3000,10.8,Eric Ebron,3000,14.5,Ladarius Green,2900,14.2,47500,165.74,1
17,Drew Brees,7000,27.94,Le'Veon Bell,8400,23.8,Adrian Peterson,7600,23.7,Julio Jones,9100,27.0,Amari Cooper,6500,23.8,Devin Funchess,3000,10.8,Ladarius Green,2900,14.2,Eric Ebron,3000,14.5,47500,165.74,1
18,Drew Brees,7000,27.94,Le'Veon Bell,8400,23.8,Adrian Peterson,7600,23.7,Julio Jones,9100,27.0,Eric Decker,5300,18.0,Mike Wallace,4200,17.8,Eric Ebron,3000,14.5,Ladarius Green,2900,14.2,47500,166.94,1
19,Drew Brees,7000,27.94,Le'Veon Bell,8400,23.8,Adrian Peterson,7600,23.7,Julio Jones,9100,27.0,Eric Decker,5300,18.0,Mike Wallace,4200,17.8,Ladarius Green,2900,14.2,Eric Ebron,3000,14.5,47500,166.94,1
21,Drew Brees,7000,27.94,Le'Veon Bell,8400,23.8,Adrian Peterson,7600,23.7,Julio Jones,9100,27.0,Martavis Bryant,4700,17.5,Mike Wallace,4200,17.8,Larry Donnell,3300,16.6,Eric Ebron,3000,14.5,47300,168.84,1
22,Drew Brees,7000,27.94,Le'Veon Bell,8400,23.8,Adrian Peterson,7600,23.7,Julio Jones,9100,27.0,Martavis Bryant,4700,17.5,Mike Wallace,4200,17.8,Eric Ebron,3000,14.5,Larry Donnell,3300,16.6,47300,168.84,1
