,QB,QB_sal,QB_score,RB1,RB1_sal,RB1_score,RB2,RB2_sal,RB2_score,WR1,WR1_sal,WR1_score,WR2,WR2_sal,WR2_score,WR3,WR3_sal,WR3_score,TE,TE_sal,TE_score,FLEX,FLEX_sal,FLEX_score,salary,score,Unique_flex
1,Aaron Rodgers,7500,28.78,Le'Veon Bell,8300,24.3,Devonta Freeman,8000,22.5,Julio Jones,9200,31.1,Alshon Jeffery,6400,22.8,Andrew Hawkins,3000,8.1,Owen Daniels,2600,11.8,Scott Chandler,2500,6.8,47500,156.18,1
2,Aaron Rodgers,7500,28.78,Le'Veon Bell,8300,24.3,Devonta Freeman,8000,22.5,Julio Jones,9200,31.1,Alshon Jeffery,6400,22.8,Andrew Hawkins,3000,8.1,Owen Daniels,2600,11.8,David Johnson,2500,7.4,47500,156.78,1
3,Aaron Rodgers,7500,28.78,Le'Veon Bell,8300,24.3,Devonta Freeman,8000,22.5,Julio Jones,9200,31.1,Alshon Jeffery,6400,22.8,Andrew Hawkins,3000,8.1,David Johnson,2500,7.4,Owen Daniels,2600,11.8,47500,156.78,1
4,Aaron Rodgers,7500,28.78,Le'Veon Bell,8300,24.3,Devonta Freeman,8000,22.5,Julio Jones,9200,31.1,Alshon Jeffery,6400,22.8,Darrius Heyward-Bey,3000,9.2,Owen Daniels,2600,11.8,Scott Chandler,2500,6.8,47500,157.28,1
5,Aaron Rodgers,7500,28.78,Le'Veon Bell,8300,24.3,Devonta Freeman,8000,22.5,Julio Jones,9200,31.1,Alshon Jeffery,6400,22.8,Darrius Heyward-Bey,3000,9.2,Owen Daniels,2600,11.8,David Johnson,2500,7.4,47500,157.88,1
6,Aaron Rodgers,7500,28.78,Le'Veon Bell,8300,24.3,Devonta Freeman,8000,22.5,Julio Jones,9200,31.1,Alshon Jeffery,6400,22.8,Darrius Heyward-Bey,3000,9.2,David Johnson,2500,7.4,Owen Daniels,2600,11.8,47500,157.88,1
7,Aaron Rodgers,7500,28.78,Le'Veon Bell,8300,24.3,Devonta Freeman,8000,22.5,Julio Jones,9200,31.1,Eric Decker,5300,19.8,Mike Wallace,4200,20.0,David Johnson,2500,7.4,Scott Chandler,2500,6.8,47500,160.68,1
9,Aaron Rodgers,7500,28.78,Le'Veon Bell,8300,24.3,Devonta Freeman,8000,22.5,Julio Jones,9200,31.1,Eric Decker,5300,19.8,Davante Adams,3900,14.8,Austin Seferian-Jenkins,2800,17.4,Scott Chandler,2500,6.8,47500,165.48,1
10,Aaron Rodgers,7500,28.78,Le'Veon Bell,8300,24.3,Devonta Freeman,8000,22.5,Julio Jones,9200,31.1,Eric Decker,5300,19.8,Davante Adams,3900,14.8,Austin Seferian-Jenkins,2800,17.4,David Johnson,2500,7.4,47500,166.08,1
11,Aaron Rodgers,7500,28.78,Le'Veon Bell,8300,24.3,Devonta Freeman,8000,22.5,Julio Jones,9200,31.1,Eric Decker,5300,19.8,Davante Adams,3900,14.8,David Johnson,2500,7.4,Austin Seferian-Jenkins,2800,17.4,47500,166.08,1
16,Aaron Rodgers,7500,28.78,Le'Veon Bell,8300,24.3,Devonta Freeman,8000,22.5,Julio Jones,9200,31.1,Mike Wallace,4200,20.0,Marques Colston,3200,17.6,Delanie Walker,4100,19.2,Austin Seferian-Jenkins,2800,17.4,47300,180.88,1
19,Aaron Rodgers,7500,28.78,Le'Veon Bell,8300,24.3,Devonta Freeman,8000,22.5,Odell Beckham Jr.,8500,32.2,Stefon Diggs,4800,21.0,Mike Wallace,4200,20.0,Larry Donnell,3300,17.4,Austin Seferian-Jenkins,2800,17.4,47400,183.58,1
20,Aaron Rodgers,7500,28.78,Le'Veon Bell,8300,24.3,Devonta Freeman,8000,22.5,Odell Beckham Jr.,8500,32.2,Stefon Diggs,4800,21.0,Mike Wallace,4200,20.0,Austin Seferian-Jenkins,2800,17.4,Larry Donnell,3300,17.4,47400,183.58,1
21,Aaron Rodgers,7500,28.78,Le'Veon Bell,8300,24.3,Devonta Freeman,8000,22.5,Odell Beckham Jr.,8500,32.2,Stefon Diggs,4800,21.0,Mike Wallace,4200,20.0,Austin Seferian-Jenkins,2800,17.4,Marques Colston,3200,17.6,47300,183.78,1
22,Aaron Rodgers,7500,28.78,Le'Veon Bell,8300,24.3,Devonta Freeman,8000,22.5,Odell Beckham Jr.,8500,32.2,Stefon Diggs,4800,21.0,Marques Colston,3200,17.6,Austin Seferian-Jenkins,2800,17.4,Mike Wallace,4200,20.0,47300,183.78,1
23,Aaron Rodgers,7500,28.78,Le'Veon Bell,8300,24.3,Devonta Freeman,8000,22.5,Odell Beckham Jr.,8500,32.2,Mike Wallace,4200,20.0,Marques Colston,3200,17.6,Austin Seferian-Jenkins,2800,17.4,Stefon Diggs,4800,21.0,47300,183.78,1
25,Aaron Rodgers,7500,28.78,Le'Veon Bell,8300,24.3,Devonta Freeman,8000,22.5,A.J. Green,7600,31.8,Mike Evans,6800,25.2,Marques Colston,3200,17.6,Larry Donnell,3300,17.4,Austin Seferian-Jenkins,2800,17.4,47500,184.98,1
26,Aaron Rodgers,7500,28.78,Le'Veon Bell,8300,24.3,Devonta Freeman,8000,22.5,A.J. Green,7600,31.8,Mike Evans,6800,25.2,Marques Colston,3200,17.6,Austin Seferian-Jenkins,2800,17.4,Larry Donnell,3300,17.4,47500,184.98,1
28,Aaron Rodgers,7500,28.78,Le'Veon Bell,8300,24.3,Devonta Freeman,8000,22.5,A.J. Green,7600,31.8,Amari Cooper,6700,29.0,Marques Colston,3200,17.6,Larry Donnell,3300,17.4,Austin Seferian-Jenkins,2800,17.4,47400,188.78,1
29,Aaron Rodgers,7500,28.78,Le'Veon Bell,8300,24.3,Devonta Freeman,8000,22.5,A.J. Green,7600,31.8,Amari Cooper,6700,29.0,Marques Colston,3200,17.6,Austin Seferian-Jenkins,2800,17.4,Larry Donnell,3300,17.4,47400,188.78,1
32,Aaron Rodgers,7500,28.78,Le'Veon Bell,8300,24.3,Adrian Peterson,7400,22.4,A.J. Green,7600,31.8,Amari Cooper,6700,29.0,Mike Wallace,4200,20.0,Austin Seferian-Jenkins,2800,17.4,Richard Rodgers,3000,16.0,47500,189.68,1
34,Aaron Rodgers,7500,28.78,Le'Veon Bell,8300,24.3,Matt Forte,7300,23.9,A.J. Green,7600,31.8,Amari Cooper,6700,29.0,Mike Wallace,4200,20.0,Austin Seferian-Jenkins,2800,17.4,Richard Rodgers,3000,16.0,47400,191.18,1
37,Aaron Rodgers,7500,28.78,Le'Veon Bell,8300,24.3,Danny Woodhead,4500,19.8,A.J. Green,7600,31.8,Mike Evans,6800,25.2,Amari Cooper,6700,29.0,Larry Donnell,3300,17.4,Austin Seferian-Jenkins,2800,17.4,47500,193.68,1
38,Aaron Rodgers,7500,28.78,Le'Veon Bell,8300,24.3,Danny Woodhead,4500,19.8,A.J. Green,7600,31.8,Mike Evans,6800,25.2,Amari Cooper,6700,29.0,Austin Seferian-Jenkins,2800,17.4,Larry Donnell,3300,17.4,47500,193.68,1
39,Aaron Rodgers,7500,28.78,Le'Veon Bell,8300,24.3,Danny Woodhead,4500,19.8,A.J. Green,7600,31.8,Mike Evans,6800,25.2,Amari Cooper,6700,29.0,Austin Seferian-Jenkins,2800,17.4,Marques Colston,3200,17.6,47400,193.88,1
40,Aaron Rodgers,7500,28.78,Le'Veon Bell,8300,24.3,Danny Woodhead,4500,19.8,A.J. Green,7600,31.8,Mike Evans,6800,25.2,Marques Colston,3200,17.6,Austin Seferian-Jenkins,2800,17.4,Amari Cooper,6700,29.0,47400,193.88,1
41,Aaron Rodgers,7500,28.78,Le'Veon Bell,8300,24.3,Danny Woodhead,4500,19.8,A.J. Green,7600,31.8,Amari Cooper,6700,29.0,Marques Colston,3200,17.6,Austin Seferian-Jenkins,2800,17.4,Mike Evans,6800,25.2,47400,193.88,1
