,Unnamed: 0,player,fan_pts,dk_name,fftoday,nfl,cbs,fleaflicker,espn,fox,fire,Name
0,38,Broncos,11.3,Broncos ,11.3,11.3,11.3,11.3,11.3,11.3,11.3,Broncos 
1,49,Rams,10.7,Rams ,10.7,10.7,10.7,10.7,10.7,10.7,10.7,Rams 
2,52,Jets,10.3,Jets ,10.3,10.3,10.3,10.3,10.3,10.3,10.3,Jets 
3,58,Packers,9.9,Packers ,9.9,9.9,9.9,9.9,9.9,9.9,9.9,Packers 
4,65,Bills,9.0,Bills ,9.0,9.0,9.0,9.0,9.0,9.0,9.0,Bills 
5,85,Falcons,8.3,Falcons ,8.3,8.3,8.3,8.3,8.3,8.3,8.3,Falcons 
6,97,Vikings,7.8,Vikings ,7.8,7.8,7.8,7.8,7.8,7.8,7.8,Vikings 
7,102,Patriots,7.7,Patriots ,7.7,7.7,7.7,7.7,7.7,7.7,7.7,Patriots 
8,110,Bengals,7.5,Bengals ,7.5,7.5,7.5,7.5,7.5,7.5,7.5,Bengals 
9,111,Titans,7.4,Titans ,7.4,7.4,7.4,7.4,7.4,7.4,7.4,Titans 
10,127,Cowboys,7.0,Cowboys ,7.0,7.0,7.0,7.0,7.0,7.0,7.0,Cowboys 
11,135,Eagles,6.7,Eagles ,6.7,6.7,6.7,6.7,6.7,6.7,6.7,Eagles 
12,140,Steelers,6.5,Steelers ,6.5,6.5,6.5,6.5,6.5,6.5,6.5,Steelers 
13,142,Chargers,6.4,Chargers ,6.4,6.4,6.4,6.4,6.4,6.4,6.4,Chargers 
14,143,Dolphins,6.3,Dolphins ,6.3,6.3,6.3,6.3,6.3,6.3,6.3,Dolphins 
15,148,Buccaneers,6.1,Buccaneers ,6.1,6.1,6.1,6.1,6.1,6.1,6.1,Buccaneers 
16,150,Jaguars,6.0,Jaguars ,6.0,6.0,6.0,6.0,6.0,6.0,6.0,Jaguars 
17,153,Giants,6.0,Giants ,6.0,6.0,6.0,6.0,6.0,6.0,6.0,Giants 
18,175,Bears,5.1,Bears ,5.1,5.1,5.1,5.1,5.1,5.1,5.1,Bears 
19,185,Panthers,4.6,Panthers ,4.6,4.6,4.6,4.6,4.6,4.6,4.6,Panthers 
20,186,Colts,4.5,Colts ,4.5,4.5,4.5,4.5,4.5,4.5,4.5,Colts 
21,208,Raiders,3.7,Raiders ,3.7,3.7,3.7,3.7,3.7,3.7,3.7,Raiders 
22,210,Saints,3.6,Saints ,3.6,3.6,3.6,3.6,3.6,3.6,3.6,Saints 
23,222,Redskins,2.8,Redskins ,2.8,2.8,2.8,2.8,2.8,2.8,2.8,Redskins 
24,229,Browns,2.7,Browns ,2.7,2.7,2.7,2.7,2.7,2.7,2.7,Browns 
25,256,49ers,1.6,49ers ,1.6,1.6,1.6,1.6,1.6,1.6,1.6,49ers 
