,Unnamed: 0,player,fftoday,dk_name
0,2,Tom Brady,27.8,Tom Brady
1,3,Philip Rivers,27.8,Philip Rivers
2,4,Drew Brees,23.4,Drew Brees
3,5,Cam Newton,21.1,Cam Newton
4,6,Jay Cutler,19.0,Jay Cutler
5,7,Andrew Luck,18.3,Andrew Luck
6,8,Blake Bortles,18.9,Blake Bortles
7,9,Ryan Fitzpatrick,19.0,Ryan Fitzpatrick
8,10,Eli Manning,18.7,Eli Manning
9,11,Aaron Rodgers,20.0,Aaron Rodgers
10,12,Ben Roethlisberger,19.7,Ben Roethlisberger
11,13,Matt Ryan,19.7,Matt Ryan
12,14,Ryan Tannehill,18.6,Ryan Tannehill
13,15,Derek Carr,18.1,Derek Carr
14,16,Peyton Manning,18.0,Peyton Manning
15,17,Andy Dalton,19.0,Andy Dalton
16,18,Kirk Cousins,17.6,Kirk Cousins
17,19,Marcus Mariota,17.6,Marcus Mariota
18,20,Sam Bradford,17.1,Sam Bradford
19,21,Tyrod Taylor,16.5,Tyrod Taylor
20,22,Johnny Manziel,14.2,Johnny Manziel
21,23,Jameis Winston,14.3,Jameis Winston
22,24,Teddy Bridgewater,13.2,Teddy Bridgewater
23,25,Matt Cassel,11.6,Matt Cassel
24,26,Blaine Gabbert,11.6,Blaine Gabbert
25,27,Nick Foles,11.4,Nick Foles
26,30,Devonta Freeman,28.0,Devonta Freeman
27,31,Todd Gurley,23.5,Todd Gurley
28,32,Mark Ingram,24.5,Mark Ingram
29,33,DeMarco Murray,20.0,DeMarco Murray
30,34,Adrian Peterson,21.0,Adrian Peterson
31,35,Doug Martin,18.0,Doug Martin
32,36,Jeremy Langford,19.5,Jeremy Langford
33,37,Lamar Miller,19.5,Lamar Miller
34,38,DeAngelo Williams,18.5,DeAngelo Williams
35,39,Chris Ivory,16.0,Chris Ivory
36,40,LeSean McCoy,17.0,LeSean McCoy
37,41,Darren McFadden,19.0,Darren McFadden
38,42,Latavius Murray,18.0,Latavius Murray
39,43,Ronnie Hillman,16.0,Ronnie Hillman
40,44,Dion Lewis,21.0,Dion Lewis
41,45,Jonathan Stewart,15.0,Jonathan Stewart
42,46,Jeremy Hill,14.5,Jeremy Hill
43,47,Melvin Gordon,13.5,Melvin Gordon
44,48,LeGarrette Blount,13.0,LeGarrette Blount
45,49,Antonio Andrews,12.5,Antonio Andrews
46,50,Frank Gore,10.0,Frank Gore
47,51,T.J. Yeldon,10.5,T.J. Yeldon
48,52,Danny Woodhead,13.0,Danny Woodhead
49,53,Giovani Bernard,9.0,Giovani Bernard
50,54,Duke Johnson,10.0,Duke Johnson Jr.
51,55,Eddie Lacy,7.0,Eddie Lacy
52,56,Dexter McCluster,11.0,Dexter McCluster
53,57,Shane Vereen,10.0,Shane Vereen
